,UIN,month,year,Victim.injury,State,Latitude,Longitude,Site.category,Shark.common.name,Provoked/unprovoked,Victim.activity,Injury.location,Injury.severity,Victim.gender,Victim.age,Hour.of.incident,Depth.of.incident.m,Depth.category,year-month,timeframe,shark.type,agegroup
3,4,1,1820,fatal,TAS,-42.8,147.5333333,coastal,unknown,provoked,swimming,leg,fatal,male,999,unknown,1.0,0m to 1.5m,1820-01-01,unknown,unknown,unknown
4,5,1,1825,injured,NSW,-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,swimming,leg,minor lacerations,male,15,unknown,999.0,Unknown,1825-01-01,unknown,bull shark,10 to 19
5,6,1,1830,injured,TAS,-43.28333333,147.3333333,island open ocean,white shark,unprovoked,swimming,arm,major lacerations,female,999,unknown,999.0,Unknown,1830-01-01,unknown,white shark,unknown
6,7,1,1832,injured,NSW,-33.86666667,151.1833333,estuary/harbour,bull shark,provoked,swimming,leg,minor lacerations,male,999,unknown,999.0,Unknown,1832-01-01,unknown,bull shark,unknown
7,8,6,1832,injured,NSW,-33.83333333,151.2666667,coastal,white shark,provoked,fishing,leg,major lacerations,female,999,unknown,999.0,Unknown,1832-06-01,unknown,white shark,unknown
8,9,1,1836,injured,SA,-34.95,138.5,coastal,white shark,unprovoked,swimming,,injury unknown,male,999,unknown,999.0,Unknown,1836-01-01,unknown,white shark,unknown
9,10,8,1836,fatal,QLD,-25.48333333,152.9833333,coastal,whaler shark,unprovoked,swimming,other: body not recovered,fatal,male,999,unknown,999.0,Unknown,1836-08-01,unknown,whaler shark,unknown
10,11,8,1836,fatal,QLD,-25.48333333,152.9833333,coastal,whaler shark,unprovoked,swimming,other: body not recovered,fatal,male,999,unknown,999.0,Unknown,1836-08-01,unknown,whaler shark,unknown
11,12,1,1837,fatal,NSW,-30.93333333,153.0166667,river,bull shark,unprovoked,swimming,leg,fatal,male,12,unknown,1.0,0m to 1.5m,1837-01-01,unknown,bull shark,10 to 19
12,13,8,1839,fatal,VIC,-38.98333333,146.45,coastal,white shark,provoked,swimming,leg,fatal,male,999,unknown,0.0,0m to 1.5m,1839-08-01,unknown,white shark,unknown
13,14,12,1840,fatal,NSW,-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,swimming,leg,fatal,male,999,unknown,999.0,Unknown,1840-12-01,unknown,bull shark,unknown
14,15,4,1841,fatal,NSW,-33.83333333,151.1666667,estuary/harbour,bull shark,unprovoked,swimming,thigh,fatal,male,999,unknown,0.0,0m to 1.5m,1841-04-01,unknown,bull shark,unknown
15,16,3,1847,injured,QLD,-27.25,153.25,coastal,bull shark,unprovoked,swimming,foot,major lacerations,male,999,unknown,999.0,Unknown,1847-03-01,unknown,bull shark,unknown
16,17,11,1847,injured,QLD,-27.43333333,153.0833333,river,bull shark,unprovoked,swimming,"thigh, calf",major lacerations,male,999,unknown,0.0,0m to 1.5m,1847-11-01,unknown,bull shark,unknown
17,18,1,1849,fatal,WA,-33.36666667,115.2833333,ocean/pelagic,white shark,provoked,swimming,,fatal,male,999,unknown,0.0,0m to 1.5m,1849-01-01,unknown,white shark,unknown
18,19,12,1849,injured,VIC,-38.33333333,141.6,coastal,white shark,unprovoked,swimming,leg,teeth marks,male,999,unknown,999.0,Unknown,1849-12-01,unknown,white shark,unknown
19,20,12,1849,fatal,NSW,-33.81666667,151.2,estuary/harbour,bull shark,unprovoked,swimming,thigh,fatal,male,999,unknown,999.0,Unknown,1849-12-01,unknown,bull shark,unknown
20,21,1,1850,fatal,QLD,-27.28333333,153.2166667,coastal,tiger shark,unprovoked,swimming,other: body not recovered,fatal,male,999,unknown,0.0,0m to 1.5m,1850-01-01,unknown,tiger shark,unknown
21,22,3,1850,injured,NSW,-29.41666667,153.3333333,coastal,whaler shark,unprovoked,swimming,,injury unknown,male,999,unknown,999.0,Unknown,1850-03-01,unknown,whaler shark,unknown
22,23,11,1853,injured,NSW,-33.85,151.2166667,estuary/harbour,wobbegong,provoked,swimming,leg,minor lacerations,male,999,unknown,999.0,Unknown,1853-11-01,unknown,wobbegong,unknown
23,24,1,1855,injured,QLD,-25.5,152.7166667,river,bull shark,unprovoked,swimming,leg,major lacerations,female,999,unknown,999.0,Unknown,1855-01-01,unknown,bull shark,unknown
24,25,1,1855,uninjured,NSW,-33.85,151.2166667,estuary/harbour,bull shark,unprovoked,swimming,other: uninjured,none,male,999,unknown,999.0,Unknown,1855-01-01,unknown,bull shark,unknown
25,26,7,1855,fatal,QLD,-10.56666667,142.2,island open ocean,tiger shark,unprovoked,swimming,torso,fatal,male,999,unknown,999.0,Unknown,1855-07-01,unknown,tiger shark,unknown
26,27,11,1855,fatal,NSW,-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,swimming,leg,fatal,male,999,unknown,999.0,Unknown,1855-11-01,unknown,bull shark,unknown
27,28,2,1856,injured,VIC,-38.13333333,144.4166667,coastal,white shark,unprovoked,swimming,"thigh, foot",major lacerations,male,999,2100,0.0,0m to 1.5m,1856-02-01,19:00 to 22:00,white shark,unknown
28,29,5,1856,injured,SA,-35.53333333,138.6833333,coastal,wobbegong,unprovoked,unknown,,injury unknown,male,999,unknown,999.0,Unknown,1856-05-01,unknown,wobbegong,unknown
29,30,3,1858,fatal,VIC,-37.85,144.9,coastal,white shark,unprovoked,swimming,calf,fatal,male,22,1500,0.0,0m to 1.5m,1858-03-01,15:00 to 18:00,white shark,20 to 29
30,31,1,1860,injured,SA,-35.56666667,138.6,coastal,white shark,unprovoked,swimming,arm,major lacerations,male,999,unknown,999.0,Unknown,1860-01-01,unknown,white shark,unknown
31,32,1,1861,injured,QLD,-27.51666667,153.2666667,coastal,wobbegong,unprovoked,swimming,"arm, hand",minor lacerations,male,999,unknown,999.0,Unknown,1861-01-01,unknown,wobbegong,unknown
32,33,2,1862,injured,VIC,-37.85,144.9,coastal,white shark,unprovoked,swimming,leg,abrasion,male,999,unknown,0.0,0m to 1.5m,1862-02-01,unknown,white shark,unknown
33,34,12,1862,fatal,QLD,-27.36666667,153.15,river,bull shark,unprovoked,swimming,other: body not recovered,fatal,male,999,unknown,0.0,0m to 1.5m,1862-12-01,unknown,bull shark,unknown
34,35,1,1863,fatal,NSW,-31.88333333,151.4666667,river,bull shark,unprovoked,swimming,thigh,fatal,male,17,unknown,0.0,0m to 1.5m,1863-01-01,unknown,bull shark,10 to 19
35,36,1,1863,fatal,QLD,-27.58333333,153.3166667,coastal,tiger shark,provoked,swimming,other: body not recovered,fatal,male,999,unknown,999.0,Unknown,1863-01-01,unknown,tiger shark,unknown
36,37,3,1863,injured,VIC,-37.9,144.9833333,coastal,white shark,unprovoked,swimming,"torso, leg",major lacerations,male,999,2000,1.0,0m to 1.5m,1863-03-01,19:00 to 22:00,white shark,unknown
37,38,4,1863,fatal,QLD,-26.8,153.1333333,coastal,tiger shark,unprovoked,unknown,other: body not recovered,fatal,male,999,unknown,0.0,0m to 1.5m,1863-04-01,unknown,tiger shark,unknown
38,39,11,1865,fatal,VIC,-37.86666667,144.8666667,coastal,white shark,unprovoked,swimming,thigh,fatal,male,33,unknown,999.0,Unknown,1865-11-01,unknown,white shark,30 to 39
39,40,1,1868,injured,QLD,-23.08333333,150.7333333,coastal,tiger shark,unprovoked,swimming,leg,major lacerations,male,999,unknown,999.0,Unknown,1868-01-01,unknown,tiger shark,unknown
40,41,1,1869,injured,QLD,-27.46666667,153,river,bull shark,unprovoked,swimming,leg,teeth marks,male,999,unknown,999.0,Unknown,1869-01-01,unknown,bull shark,unknown
41,42,3,1869,injured,SA,-34.13333333,137.45,coastal,sevengill shark,provoked,fishing,foot,minor lacerations,male,999,unknown,1.0,0m to 1.5m,1869-03-01,unknown,others,unknown
42,43,1,1870,injured,QLD,-27.46666667,153.0166667,river,bull shark,unprovoked,swimming,thigh,major lacerations,male,17,unknown,0.0,0m to 1.5m,1870-01-01,unknown,bull shark,10 to 19
43,44,5,1870,injured,QLD,-27.08333333,153.4,coastal,whaler shark,provoked,spearfishing,leg,minor lacerations,male,13,unknown,0.0,0m to 1.5m,1870-05-01,unknown,whaler shark,10 to 19
44,45,1,1872,injured,QLD,-25.8,153.0166667,coastal,unknown,unprovoked,swimming,,injury unknown,male,999,unknown,999.0,Unknown,1872-01-01,unknown,unknown,unknown
45,46,2,1873,uninjured,SA,-34.83333333,138.4666667,coastal,white shark,unprovoked,unmotorised boating,other: uninjured,none,male,999,unknown,999.0,Unknown,1873-02-01,unknown,white shark,unknown
46,47,1,1874,injured,NSW,-33.86666667,151.2,estuary/harbour,bull shark,unprovoked,swimming,"calf, foot",major lacerations,male,999,unknown,0.0,0m to 1.5m,1874-01-01,unknown,bull shark,unknown
47,48,11,1874,injured,QLD,-25.5,152.7166667,river,bull shark,unprovoked,swimming,thigh,teeth marks,male,999,unknown,999.0,Unknown,1874-11-01,unknown,bull shark,unknown
48,49,11,1874,injured,NSW,-33,151.7166667,coastal,wobbegong,provoked,swimming,foot,minor lacerations,male,999,1900,999.0,Unknown,1874-11-01,19:00 to 22:00,wobbegong,unknown
49,50,7,1875,injured,NSW,-29.41666667,153.3333333,river,tiger shark,unprovoked,swimming,,major lacerations,male,999,unknown,0.0,0m to 1.5m,1875-07-01,unknown,tiger shark,unknown
50,51,10,1875,fatal,QLD,-10.25,142.1166667,estuary/harbour,tiger shark,provoked,snorkelling,leg,fatal,male,999,unknown,999.0,Unknown,1875-10-01,unknown,tiger shark,unknown
51,52,11,1875,injured,NSW,-29.4,153.3333333,island open ocean,white shark,provoked,swimming,foot,major lacerations,male,999,unknown,0.0,0m to 1.5m,1875-11-01,unknown,white shark,unknown
52,53,12,1875,injured,NSW,-29.4,153.3333333,river,bull shark,unprovoked,swimming,leg,minor lacerations,male,999,unknown,0.0,0m to 1.5m,1875-12-01,unknown,bull shark,unknown
53,54,1,1876,injured,WA,-20.7,117.25,river,bull shark,provoked,snorkelling,thigh,major lacerations,male,36,unknown,999.0,Unknown,1876-01-01,unknown,bull shark,30 to 39
